date,month,meanDailyWeatherImpact,p90DailyEnergyMWh,p10DailyEnergyMWh,meanDailyEnergyMWh,medianDailyEnergyMWh,coefVarDailyEnergy
NaN,1,,1623.981077777778,378.4938333333333,826.7795038009912,615.3440666666667,0.7288470826520222
NaN,2,,1828.4369288888897,401.96175177777775,963.6299325426254,756.4528444444445,0.6829390427101241
NaN,3,,2875.441385555556,481.78376555555553,1525.0715858440014,1311.4796022222222,0.6128995908789822
NaN,4,,3696.3346628888894,1001.6737166666668,2407.3419733068763,2446.426782777778,0.4041882647753831
NaN,5,,3780.2708999999995,1274.204077777778,2649.0527693531335,2729.0963333333334,0.3430155180584491
NaN,6,,3840.319959222223,1411.1470244444445,2719.599821929455,2784.2887633333335,0.32857078036193177
NaN,7,,4008.8845622222225,1342.1221111111113,2834.6689462962927,2923.4709566666666,0.33382687989336157
NaN,8,,3785.1594988888883,1444.2278888888889,2575.565874929169,2536.3855888888893,0.33832852953414116
NaN,9,,3858.0736888888896,1389.3174533333333,2476.4981232028194,2348.5931483333334,0.3653600513991212
NaN,10,,3675.1102111111104,1307.0316666666668,2372.7281420771455,2272.8282222222224,0.37055637519655105
NaN,11,,3304.8185277777784,770.2187193333332,1820.2063317495597,1624.2655277777776,0.5093293214608307
NaN,12,,2228.550522222222,426.72094444444446,1094.2421107031912,798.8834822222223,0.673060343671415
