year,specificYield,energyMWh,meanDailyWeatherImpact,normalisedSpecificYield
1994,3051.1600459999995,152558.0023,-0.2012318198312544,1.0420070648440614
1995,3005.0523961999997,150252.61981,-0.21265121318553684,1.0262607597959401
1996,2966.7258462,148336.29231000002,-0.22440032949938693,1.0131717919053653
1997,2824.1373954,141206.86977000002,-0.25908200124415537,0.96447615783217
1998,2977.4482608,148872.41304,-0.21883386995674525,1.0168336226834769
1999,2861.5063852,143075.31926,-0.249530162429999,0.9772381076449087
2000,2848.6568301999996,142432.84151,-0.2554278530046133,0.9728498333858591
2001,2882.6417658,144132.08829,-0.2439566949286988,0.984456088862328
2002,2893.3281022000006,144666.40511,-0.2421704487075295,0.988105598510535
2003,2978.8487785999996,148942.43893,-0.2198596085300101,1.0173119159948856
2004,2894.656946,144732.8473,-0.2426766797386006,0.9885594143074117
2005,2995.8445038000004,149792.22519000006,-0.2144541478066011,1.0231161561735567
2006,2896.2891350000004,144814.45675,-0.24016111480678023,0.9891168260601616
2007,2900.2746794,145013.73397,-0.2400325107474505,0.9904779363786759
2008,2935.6168903999996,146780.84451999998,-0.23187457878440396,1.0025477173780333
2009,2942.7636039999993,147138.1802,-0.22863393422387954,1.0049884041821815
2010,2907.6905014,145384.52507,-0.2382342355397521,0.993010526868564
2011,2927.3932540000005,146369.66270000002,-0.2324094850431786,0.9997392487633692
2012,2891.5384076,144576.92038,-0.24337879173826682,0.9874943967417
2013,2992.7514050000004,149637.57025,-0.21557315746350617,1.022059826530644
2014,2920.8507808,146042.53903999997,-0.2352533880138601,0.9975049171671323
2015,2946.1132427999996,147305.66214,-0.22846002078521455,1.0061323452543163
2016,3016.0299843999996,150801.49922000003,-0.21209259067345299,1.0300097353615925
2017,2831.8593954000003,141592.96977,-0.2571590303658317,0.9671133117124703
2018,2918.9949756000005,145949.74877999997,-0.23613101594926122,0.9968711378503413
2019,2931.2499785999994,146562.49893,-0.2317794662753985,1.0010563656041016
2020,2928.9202949999994,146446.01475,-0.23444616471928623,1.0002607512366306
2021,2937.5413897999997,146877.06949,-0.23018543203441377,1.0032049565725871
