date,hour,price,volume
2021-12-01,0,49.95,228.0
2021-12-01,1,49.92,256.0
2021-12-01,2,49.93,237.0
2021-12-01,3,49.94,238.0
2021-12-01,4,49.96,217.0
2021-12-01,5,49.97,201.0
2021-12-01,6,182.02,115.4
2021-12-01,7,182.01,85.9
2021-12-01,8,182.04,88.3
2021-12-01,9,182.06,68.6
2021-12-01,10,120.5,70.0
2021-12-01,11,119.6,72.0
2021-12-01,12,81.09,94.2
2021-12-01,13,81.09,92.4
2021-12-01,14,81.08,92.4
2021-12-01,15,81.09,92.4
2021-12-01,16,81.09,103.0
2021-12-01,17,182.1,138.0
2021-12-01,18,262.06,38.0
2021-12-01,19,319.34,5.0
2021-12-01,20,319.34,5.0
2021-12-01,21,315.13,39.0
2021-12-01,22,50.19,181.9
2021-12-01,23,49.98,184.0
2021-12-02,0,50.13,296.7
2021-12-02,1,49.97,281.6
2021-12-02,2,49.17,282.0
2021-12-02,3,48.57,286.0
2021-12-02,4,50.23,316.4
2021-12-02,5,51.97,181.0
2021-12-02,6,182.04,110.8
2021-12-02,7,182.04,76.9
2021-12-02,8,186.83,87.0
2021-12-02,9,232.27,58.0
2021-12-02,10,115.0,85.0
2021-12-02,11,117.5,80.0
2021-12-02,12,112.76,92.0
2021-12-02,13,90.86,103.0
2021-12-02,14,86.66,110.0
2021-12-02,15,92.31,100.0
2021-12-02,16,84.99,139.0
2021-12-02,17,182.01,101.8
2021-12-02,18,262.08,55.0
2021-12-02,19,319.5,5.0
2021-12-02,20,319.5,5.0
2021-12-02,21,315.3,47.0
2021-12-02,22,52.0,163.0
2021-12-02,23,51.93,243.9
2021-12-03,0,51.97,209.0
2021-12-03,1,51.91,282.5
2021-12-03,2,51.93,249.0
2021-12-03,3,51.92,262.0
2021-12-03,4,51.92,276.8
2021-12-03,5,54.97,158.0
2021-12-03,6,182.04,113.2
2021-12-03,7,182.05,93.0
2021-12-03,8,189.79,86.0
2021-12-03,9,232.46,49.0
2021-12-03,10,122.77,39.0
2021-12-03,11,122.77,39.0
2021-12-03,12,122.03,52.0
2021-12-03,13,121.97,53.0
2021-12-03,14,121.51,61.0
2021-12-03,15,93.66,103.0
2021-12-03,16,89.98,145.0
2021-12-03,17,179.88,95.9
2021-12-03,18,315.91,45.0
2021-12-03,19,319.55,5.0
2021-12-03,20,319.58,5.0
2021-12-03,21,284.0,63.0
2021-12-03,22,54.45,133.0
2021-12-03,23,51.99,186.0
2021-12-04,0,45.76,191.0
2021-12-04,1,44.09,201.0
2021-12-04,2,44.08,191.0
2021-12-04,3,44.07,189.0
2021-12-04,4,44.07,193.0
2021-12-04,5,29.03,117.0
2021-12-04,6,29.06,120.0
2021-12-04,7,195.77,111.0
2021-12-04,8,229.33,70.0
2021-12-04,9,233.69,41.0
2021-12-04,10,123.51,26.0
2021-12-04,11,123.0,35.0
2021-12-04,12,121.37,59.0
2021-12-04,13,115.0,72.0
2021-12-04,14,121.0,65.0
2021-12-04,15,121.0,65.0
2021-12-04,16,26.09,76.0
2021-12-04,17,29.04,109.0
2021-12-04,18,315.18,53.0
2021-12-04,19,320.0,0.0
2021-12-04,20,318.88,9.0
2021-12-04,21,316.67,40.0
2021-12-04,22,49.58,127.9
2021-12-04,23,44.04,126.0
2021-12-05,0,49.26,180.0
2021-12-05,1,47.69,201.0
2021-12-05,2,44.08,200.0
2021-12-05,3,44.07,196.0
2021-12-05,4,44.05,190.0
2021-12-05,5,32.07,171.0
2021-12-05,6,32.02,162.0
2021-12-05,7,30.07,93.0
2021-12-05,8,30.06,80.0
2021-12-05,9,30.09,114.0
2021-12-05,10,30.09,108.0
2021-12-05,11,32.02,122.0
2021-12-05,12,32.01,114.0
2021-12-05,13,30.1,106.0
2021-12-05,14,30.09,95.0
2021-12-05,15,30.08,75.0
2021-12-05,16,30.07,102.0
2021-12-05,17,30.05,73.0
2021-12-05,18,31.16,73.0
2021-12-05,19,55.42,26.0
2021-12-05,20,317.0,24.0
2021-12-05,21,282.0,67.0
2021-12-05,22,50.49,160.0
2021-12-05,23,44.05,175.0
2021-12-06,0,45.06,226.0
2021-12-06,1,45.05,222.0
2021-12-06,2,45.04,220.0
2021-12-06,3,45.04,220.0
2021-12-06,4,45.04,222.0
2021-12-06,5,45.0,92.0
2021-12-06,6,180.09,80.1
2021-12-06,7,182.01,64.0
2021-12-06,8,182.05,72.0
2021-12-06,9,230.0,65.0
2021-12-06,10,121.97,53.0
2021-12-06,11,122.49,44.0
2021-12-06,12,120.5,70.0
2021-12-06,13,121.51,61.0
2021-12-06,14,122.09,51.0
2021-12-06,15,122.31,47.0
2021-12-06,16,81.06,95.0
2021-12-06,17,178.03,65.0
2021-12-06,18,262.01,60.0
2021-12-06,19,319.55,5.0
2021-12-06,20,319.58,5.0
2021-12-06,21,318.92,13.0
2021-12-06,22,50.87,163.5
2021-12-06,23,45.04,180.0
2021-12-07,0,49.38,216.0
2021-12-07,1,47.75,236.0
2021-12-07,2,45.08,231.0
2021-12-07,3,45.07,231.0
2021-12-07,4,45.1,239.0
2021-12-07,5,45.08,169.0
2021-12-07,6,182.05,166.0
2021-12-07,7,182.02,108.0
2021-12-07,8,182.04,91.0
2021-12-07,9,231.6,68.0
2021-12-07,10,122.01,56.0
2021-12-07,11,121.85,59.0
2021-12-07,12,121.16,72.0
2021-12-07,13,121.37,68.0
2021-12-07,14,121.16,72.0
2021-12-07,15,121.27,70.0
2021-12-07,16,121.32,69.0
2021-12-07,17,182.05,104.0
2021-12-07,18,316.3,37.0
2021-12-07,19,319.5,5.0
2021-12-07,20,319.5,5.0
2021-12-07,21,315.54,58.0
2021-12-07,22,50.71,159.6
2021-12-07,23,48.82,176.0
2021-12-08,0,50.64,187.6
2021-12-08,1,50.51,187.3
2021-12-08,2,50.46,183.2
2021-12-08,3,50.5,182.5
2021-12-08,4,50.58,185.2
2021-12-08,5,50.56,136.0
2021-12-08,6,182.04,164.0
2021-12-08,7,182.02,101.0
2021-12-08,8,182.0,79.0
2021-12-08,9,182.02,79.0
2021-12-08,10,112.64,98.0
2021-12-08,11,96.05,101.0
2021-12-08,12,81.04,105.0
2021-12-08,13,81.03,105.0
2021-12-08,14,81.03,105.0
2021-12-08,15,81.05,104.0
2021-12-08,16,81.04,104.0
2021-12-08,17,178.15,71.0
2021-12-08,18,262.01,55.0
2021-12-08,19,319.5,5.0
2021-12-08,20,319.5,5.0
2021-12-08,21,316.23,49.0
2021-12-08,22,50.91,155.7
2021-12-08,23,50.53,154.6
2021-12-09,0,50.67,178.0
2021-12-09,1,50.08,183.7
2021-12-09,2,50.06,182.5
2021-12-09,3,50.05,175.1
2021-12-09,4,50.06,179.6
2021-12-09,5,45.06,100.0
2021-12-09,6,182.08,183.0
2021-12-09,7,182.06,117.0
2021-12-09,8,231.9,64.0
2021-12-09,9,234.56,43.0
2021-12-09,10,122.81,41.0
2021-12-09,11,122.49,47.0
2021-12-09,12,122.28,51.0
2021-12-09,13,121.94,57.3
2021-12-09,14,122.17,53.0
2021-12-09,15,121.53,65.0
2021-12-09,16,81.1,105.0
2021-12-09,17,179.31,83.0
2021-12-09,18,262.03,55.0
2021-12-09,19,315.8,42.0
2021-12-09,20,316.4,36.0
2021-12-09,21,283.21,77.8
2021-12-09,22,50.1,180.0
2021-12-09,23,50.05,165.4
2021-12-10,0,50.1,191.6
2021-12-10,1,50.05,190.8
2021-12-10,2,50.04,190.9
2021-12-10,3,50.03,186.7
2021-12-10,4,50.04,184.9
2021-12-10,5,45.09,154.0
2021-12-10,6,182.04,160.0
2021-12-10,7,182.03,116.0
2021-12-10,8,190.6,111.0
2021-12-10,9,231.13,71.0
2021-12-10,10,121.59,64.0
2021-12-10,11,120.0,80.0
2021-12-10,12,112.06,104.0
2021-12-10,13,113.12,101.0
2021-12-10,14,112.41,103.0
2021-12-10,15,82.1,144.0
2021-12-10,16,88.97,133.0
2021-12-10,17,182.06,152.0
2021-12-10,18,272.6,96.0
2021-12-10,19,279.8,72.0
2021-12-10,20,315.9,41.0
2021-12-10,21,315.08,64.0
2021-12-10,22,51.12,196.9
2021-12-10,23,50.08,183.8
2021-12-11,0,50.05,169.2
2021-12-11,1,50.03,169.5
2021-12-11,2,50.02,168.4
2021-12-11,3,50.01,168.5
2021-12-11,4,49.73,173.0
2021-12-11,5,29.06,172.0
2021-12-11,6,29.07,179.0
2021-12-11,7,48.07,143.6
2021-12-11,8,50.7,150.0
2021-12-11,9,80.04,114.0
2021-12-11,10,83.4,94.0
2021-12-11,11,82.08,103.0
2021-12-11,12,32.24,131.0
2021-12-11,13,29.04,85.0
2021-12-11,14,29.05,85.0
2021-12-11,15,29.05,85.0
2021-12-11,16,27.55,85.0
2021-12-11,17,29.66,202.0
2021-12-11,18,50.67,103.0
2021-12-11,19,319.91,1.0
2021-12-11,20,318.0,14.0
2021-12-11,21,259.58,39.0
2021-12-11,22,53.61,142.0
2021-12-11,23,50.08,167.3
2021-12-12,0,51.37,183.0
2021-12-12,1,50.09,195.3
2021-12-12,2,50.06,193.8
2021-12-12,3,50.05,190.6
2021-12-12,4,50.01,185.7
2021-12-12,5,49.25,245.0
2021-12-12,6,32.06,255.0
2021-12-12,7,32.04,206.0
2021-12-12,8,32.04,200.5
2021-12-12,9,32.05,196.3
2021-12-12,10,32.05,193.2
2021-12-12,11,32.06,193.1
2021-12-12,12,32.06,190.1
2021-12-12,13,32.03,151.0
2021-12-12,14,32.03,151.0
2021-12-12,15,32.04,151.0
2021-12-12,16,32.01,161.0
2021-12-12,17,32.03,182.0
2021-12-12,18,32.06,119.1
2021-12-12,19,57.89,41.0
2021-12-12,20,226.13,49.0
2021-12-12,21,222.96,72.0
2021-12-12,22,54.18,177.0
2021-12-12,23,50.06,204.4
2021-12-13,0,45.09,202.0
2021-12-13,1,45.08,198.0
2021-12-13,2,45.07,196.0
2021-12-13,3,45.07,194.0
2021-12-13,4,45.08,202.0
2021-12-13,5,46.72,246.0
2021-12-13,6,182.03,157.0
2021-12-13,7,182.04,132.0
2021-12-13,8,182.05,115.0
2021-12-13,9,182.08,115.0
2021-12-13,10,81.09,114.0
2021-12-13,11,81.1,114.0
2021-12-13,12,81.06,107.0
2021-12-13,13,81.01,77.0
2021-12-13,14,81.02,77.0
2021-12-13,15,81.03,77.0
2021-12-13,16,81.05,103.0
2021-12-13,17,179.04,74.0
2021-12-13,18,272.55,103.0
2021-12-13,19,318.9,11.0
2021-12-13,20,319.9,1.0
2021-12-13,21,316.92,40.0
2021-12-13,22,51.56,203.5
2021-12-13,23,50.04,211.2
2021-12-14,0,50.02,193.9
2021-12-14,1,49.49,196.0
2021-12-14,2,48.39,208.0
2021-12-14,3,47.96,215.0
2021-12-14,4,49.14,202.0
2021-12-14,5,45.04,146.0
2021-12-14,6,182.01,134.0
2021-12-14,7,182.03,122.0
2021-12-14,8,182.07,123.0
2021-12-14,9,199.72,95.0
2021-12-14,10,122.65,75.0
2021-12-14,11,122.62,74.0
2021-12-14,12,121.28,93.0
2021-12-14,13,82.38,88.0
2021-12-14,14,83.4,81.0
2021-12-14,15,82.52,87.0
2021-12-14,16,84.56,91.0
2021-12-14,17,178.89,68.0
2021-12-14,18,316.3,37.0
2021-12-14,19,319.5,5.0
2021-12-14,20,319.5,5.0
2021-12-14,21,317.67,28.0
2021-12-14,22,50.45,186.6
2021-12-14,23,50.05,170.3
2021-12-15,0,50.06,175.0
2021-12-15,1,50.03,174.1
2021-12-15,2,50.01,172.9
2021-12-15,3,49.97,172.0
2021-12-15,4,50.0,173.0
2021-12-15,5,45.02,99.0
2021-12-15,6,180.06,67.0
2021-12-15,7,180.08,67.0
2021-12-15,8,180.09,72.0
2021-12-15,9,182.01,72.0
2021-12-15,10,108.29,98.0
2021-12-15,11,106.57,101.0
2021-12-15,12,81.08,123.9
2021-12-15,13,81.07,123.9
2021-12-15,14,81.07,124.0
2021-12-15,15,81.09,123.8
2021-12-15,16,81.03,101.8
2021-12-15,17,177.85,65.0
2021-12-15,18,262.01,55.0
2021-12-15,19,319.5,5.0
2021-12-15,20,319.5,5.0
2021-12-15,21,317.04,32.6
2021-12-15,22,50.75,190.7
2021-12-15,23,50.05,176.0
2021-12-16,0,50.53,169.1
2021-12-16,1,50.44,169.1
2021-12-16,2,49.7,179.0
2021-12-16,3,49.06,187.0
2021-12-16,4,49.63,180.0
2021-12-16,5,45.04,129.0
2021-12-16,6,180.04,71.0
2021-12-16,7,180.07,71.0
2021-12-16,8,180.43,76.0
2021-12-16,9,186.82,74.9
2021-12-16,10,108.98,72.0
2021-12-16,11,96.45,78.0
2021-12-16,12,82.47,90.4
2021-12-16,13,82.02,93.4
2021-12-16,14,82.19,92.3
2021-12-16,15,82.26,91.8
2021-12-16,16,81.09,99.8
2021-12-16,17,84.57,73.9
2021-12-16,18,262.03,55.0
2021-12-16,19,319.5,5.0
2021-12-16,20,319.5,5.0
2021-12-16,21,289.75,55.1
2021-12-16,22,50.62,196.0
2021-12-16,23,50.08,178.8
2021-12-17,0,50.04,166.5
2021-12-17,1,50.01,163.0
2021-12-17,2,49.96,162.3
2021-12-17,3,49.91,163.0
2021-12-17,4,49.94,165.3
2021-12-17,5,45.03,103.0
2021-12-17,6,180.05,75.0
2021-12-17,7,180.08,75.0
2021-12-17,8,180.43,78.0
2021-12-17,9,231.67,50.0
2021-12-17,10,122.35,43.0
2021-12-17,11,121.74,53.0
2021-12-17,12,84.85,76.0
2021-12-17,13,84.42,79.0
2021-12-17,14,82.99,88.8
2021-12-17,15,81.02,102.3
2021-12-17,16,81.02,102.3
2021-12-17,17,179.25,85.4
2021-12-17,18,262.04,55.0
2021-12-17,19,316.2,38.0
2021-12-17,20,319.4,6.0
2021-12-17,21,280.13,57.5
2021-12-17,22,50.09,159.5
2021-12-17,23,50.01,134.4
2021-12-18,0,50.06,153.1
2021-12-18,1,50.03,153.4
2021-12-18,2,49.87,154.0
2021-12-18,3,48.93,164.0
2021-12-18,4,48.49,170.0
2021-12-18,5,26.1,83.0
2021-12-18,6,26.09,83.0
2021-12-18,7,48.03,123.0
2021-12-18,8,48.05,126.0
2021-12-18,9,48.09,126.0
2021-12-18,10,79.5,119.0
2021-12-18,11,81.83,105.0
2021-12-18,12,29.06,83.0
2021-12-18,13,29.04,83.0
2021-12-18,14,29.04,83.0
2021-12-18,15,29.01,83.0
2021-12-18,16,26.06,83.0
2021-12-18,17,26.06,81.0
2021-12-18,18,45.06,60.0
2021-12-18,19,315.8,42.0
2021-12-18,20,100.3,39.0
2021-12-18,21,50.63,83.0
2021-12-18,22,50.09,136.2
2021-12-18,23,50.01,112.7
2021-12-19,0,50.07,160.2
2021-12-19,1,50.07,183.2
2021-12-19,2,50.04,181.9
2021-12-19,3,50.02,180.6
2021-12-19,4,49.14,188.0
2021-12-19,5,32.06,208.0
2021-12-19,6,32.03,198.0
2021-12-19,7,31.05,137.0
2021-12-19,8,30.09,115.0
2021-12-19,9,30.09,109.0
2021-12-19,10,30.09,109.0
2021-12-19,11,30.1,108.0
2021-12-19,12,30.09,101.0
2021-12-19,13,30.09,99.0
2021-12-19,14,30.09,98.0
2021-12-19,15,30.1,93.0
2021-12-19,16,30.07,94.0
2021-12-19,17,30.06,81.0
2021-12-19,18,30.02,20.0
2021-12-19,19,51.88,52.0
2021-12-19,20,30.09,40.0
2021-12-19,21,50.93,100.0
2021-12-19,22,50.07,170.4
2021-12-19,23,49.11,159.0
2021-12-20,0,45.07,220.0
2021-12-20,1,45.06,216.0
2021-12-20,2,45.06,214.0
2021-12-20,3,45.04,210.0
2021-12-20,4,45.05,220.0
2021-12-20,5,45.01,160.0
2021-12-20,6,180.05,73.0
2021-12-20,7,180.41,115.0
2021-12-20,8,180.41,94.0
2021-12-20,9,180.43,95.0
2021-12-20,10,81.08,106.9
2021-12-20,11,81.08,106.9
2021-12-20,12,81.06,102.0
2021-12-20,13,81.05,102.1
2021-12-20,14,81.05,102.1
2021-12-20,15,81.02,102.3
2021-12-20,16,79.75,124.0
2021-12-20,17,180.05,73.0
2021-12-20,18,260.07,55.0
2021-12-20,19,315.7,43.0
2021-12-20,20,315.7,43.0
2021-12-20,21,156.16,103.0
2021-12-20,22,50.09,204.3
2021-12-20,23,50.02,185.1
2021-12-21,0,50.0,190.9
2021-12-21,1,45.1,219.0
2021-12-21,2,45.08,211.0
2021-12-21,3,45.07,211.0
2021-12-21,4,45.09,219.0
2021-12-21,5,45.05,180.0
2021-12-21,6,180.08,141.7
2021-12-21,7,180.07,98.8
2021-12-21,8,180.43,88.1
2021-12-21,9,180.44,79.0
2021-12-21,10,83.25,92.0
2021-12-21,11,84.85,81.0
2021-12-21,12,81.65,98.0
2021-12-21,13,81.94,92.0
2021-12-21,14,83.17,83.5
2021-12-21,15,81.04,98.1
2021-12-21,16,75.09,119.0
2021-12-21,17,180.09,115.5
2021-12-21,18,277.36,89.0
2021-12-21,19,318.9,11.0
2021-12-21,20,319.2,8.0
2021-12-21,21,255.45,60.0
2021-12-21,22,50.1,205.1
2021-12-21,23,50.04,197.8
2021-12-22,0,49.75,195.0
2021-12-22,1,45.08,213.0
2021-12-22,2,45.06,203.0
2021-12-22,3,45.05,201.0
2021-12-22,4,45.06,203.0
2021-12-22,5,40.08,117.0
2021-12-22,6,180.05,109.1
2021-12-22,7,180.03,63.0
2021-12-22,8,180.08,72.0
2021-12-22,9,180.06,55.0
2021-12-22,10,80.19,89.0
2021-12-22,11,79.6,93.0
2021-12-22,12,75.08,99.0
2021-12-22,13,75.07,95.0
2021-12-22,14,75.08,95.0
2021-12-22,15,75.06,95.0
2021-12-22,16,75.04,95.0
2021-12-22,17,180.01,46.0
2021-12-22,18,95.07,39.0
2021-12-22,19,265.83,80.0
2021-12-22,20,266.61,74.0
2021-12-22,21,84.27,105.0
2021-12-22,22,50.06,150.0
2021-12-22,23,48.2,151.0
2021-12-23,0,50.0,167.6
2021-12-23,1,48.27,190.0
2021-12-23,2,45.09,192.0
2021-12-23,3,45.08,190.0
2021-12-23,4,45.08,192.0
2021-12-23,5,40.1,117.0
2021-12-23,6,180.09,109.0
