dayofweek,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
1,2,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
1,3,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,off,off
1,4,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,5,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,6,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
1,7,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
1,8,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,evening,standard,standard,off,off
1,9,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,10,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,11,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
1,12,off,off,off,off,off,off,morning,morning,morning,standard,standard,standard,standard,standard,standard,standard,standard,standard,evening,evening,standard,standard,off,off
6,,off,off,off,off,off,off,off,standard,standard,standard,standard,standard,off,off,off,off,off,off,standard,standard,off,off,off,off
7,,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off,off
