date,hour,price,volume
2020-12-01,0,50.58,159.6
2020-12-01,1,50.55,173.8
2020-12-01,2,50.55,173.5
2020-12-01,3,50.53,179.8
2020-12-01,4,50.54,178.7
2020-12-01,5,51.67,174.0
2020-12-01,6,52.05,155.0
2020-12-01,7,189.09,104.0
2020-12-01,8,190.0,76.0
2020-12-01,9,200.08,78.0
2020-12-01,10,125.16,67.0
2020-12-01,11,125.16,67.0
2020-12-01,12,125.16,67.0
2020-12-01,13,125.16,67.0
2020-12-01,14,125.16,67.0
2020-12-01,15,125.12,66.0
2020-12-01,16,125.12,66.0
2020-12-01,17,288.17,58.0
2020-12-01,18,298.95,60.0
2020-12-01,19,298.59,60.0
2020-12-01,20,125.19,40.0
2020-12-01,21,125.52,59.0
2020-12-01,22,50.99,220.2
2020-12-01,23,50.57,151.7
2020-12-02,0,50.27,153.7
2020-12-02,1,50.26,151.3
2020-12-02,2,50.26,146.5
2020-12-02,3,50.26,144.1
2020-12-02,4,50.26,148.6
2020-12-02,5,51.23,194.0
2020-12-02,6,53.05,149.1
2020-12-02,7,187.22,74.0
2020-12-02,8,187.24,74.0
2020-12-02,9,189.95,92.0
2020-12-02,10,124.24,85.0
2020-12-02,11,124.24,85.0
2020-12-02,12,124.24,86.0
2020-12-02,13,124.24,86.0
2020-12-02,14,124.24,86.0
2020-12-02,15,124.23,86.0
2020-12-02,16,124.23,86.0
2020-12-02,17,285.08,72.0
2020-12-02,18,299.01,59.4
2020-12-02,19,298.55,60.0
2020-12-02,20,125.01,40.0
2020-12-02,21,125.01,73.0
2020-12-02,22,50.71,258.3
2020-12-02,23,50.31,173.6
2020-12-03,0,50.13,172.0
2020-12-03,1,50.12,168.0
2020-12-03,2,50.12,164.0
2020-12-03,3,50.12,168.0
2020-12-03,4,50.14,172.0
2020-12-03,5,51.99,156.0
2020-12-03,6,53.08,103.0
2020-12-03,7,185.05,86.0
2020-12-03,8,185.05,81.0
2020-12-03,9,185.8,83.0
2020-12-03,10,120.03,75.0
2020-12-03,11,120.03,75.0
2020-12-03,12,120.03,81.0
2020-12-03,13,120.03,80.0
2020-12-03,14,120.03,80.0
2020-12-03,15,120.03,80.0
2020-12-03,16,120.03,80.0
2020-12-03,17,279.93,68.0
2020-12-03,18,298.13,60.0
2020-12-03,19,280.05,60.0
2020-12-03,20,120.04,40.0
2020-12-03,21,120.06,69.0
2020-12-03,22,50.15,156.0
2020-12-03,23,50.12,174.0
2020-12-04,0,50.27,154.0
2020-12-04,1,50.24,152.0
2020-12-04,2,50.21,150.0
2020-12-04,3,50.2,144.0
2020-12-04,4,50.25,152.0
2020-12-04,5,50.76,158.0
2020-12-04,6,53.05,154.0
2020-12-04,7,184.07,105.0
2020-12-04,8,184.07,105.0
2020-12-04,9,185.02,107.0
2020-12-04,10,118.06,100.0
2020-12-04,11,118.06,100.0
2020-12-04,12,118.06,100.0
2020-12-04,13,118.06,100.0
2020-12-04,14,118.06,100.0
2020-12-04,15,118.06,100.0
2020-12-04,16,118.06,100.0
2020-12-04,17,278.08,83.0
2020-12-04,18,297.08,60.0
2020-12-04,19,278.06,60.0
2020-12-04,20,118.04,40.0
2020-12-04,21,118.04,84.0
2020-12-04,22,50.89,182.5
2020-12-04,23,50.66,197.0
2020-12-05,0,46.98,120.0
2020-12-05,1,46.97,120.0
2020-12-05,2,46.98,120.0
2020-12-05,3,46.98,120.0
2020-12-05,4,46.98,120.0
2020-12-05,5,46.97,120.0
2020-12-05,6,47.0,170.0
2020-12-05,7,60.05,78.0
2020-12-05,8,60.06,78.0
2020-12-05,9,60.07,80.0
2020-12-05,10,60.09,95.0
2020-12-05,11,60.08,95.0
2020-12-05,12,50.07,111.0
2020-12-05,13,50.06,128.0
2020-12-05,14,50.06,130.0
2020-12-05,15,50.05,134.0
2020-12-05,16,50.05,139.0
2020-12-05,17,50.05,128.0
2020-12-05,18,64.97,87.0
2020-12-05,19,150.62,40.0
2020-12-05,20,50.09,40.0
2020-12-05,21,50.08,82.0
2020-12-05,22,50.01,115.7
2020-12-05,23,49.57,117.0
2020-12-06,0,49.31,117.0
2020-12-06,1,44.99,117.0
2020-12-06,2,44.98,117.0
2020-12-06,3,44.98,117.0
2020-12-06,4,44.98,117.0
2020-12-06,5,44.97,117.0
2020-12-06,6,44.98,168.0
2020-12-06,7,44.99,168.0
2020-12-06,8,50.01,162.0
2020-12-06,9,50.02,146.0
2020-12-06,10,50.05,140.0
2020-12-06,11,50.04,142.0
2020-12-06,12,50.03,154.0
2020-12-06,13,50.0,182.8
2020-12-06,14,50.0,181.8
2020-12-06,15,50.02,170.0
2020-12-06,16,50.02,163.1
2020-12-06,17,50.0,182.8
2020-12-06,18,50.01,116.0
2020-12-06,19,50.07,62.0
2020-12-06,20,50.05,76.0
2020-12-06,21,50.0,120.8
2020-12-06,22,50.01,117.9
2020-12-06,23,44.98,120.0
2020-12-07,0,50.08,70.0
2020-12-07,1,50.06,70.0
2020-12-07,2,50.05,70.0
2020-12-07,3,50.04,70.0
2020-12-07,4,50.06,70.0
2020-12-07,5,51.05,170.0
2020-12-07,6,53.02,194.0
2020-12-07,7,180.03,106.0
2020-12-07,8,180.05,106.0
2020-12-07,9,180.06,107.0
2020-12-07,10,115.07,97.0
2020-12-07,11,115.07,97.0
2020-12-07,12,115.07,97.0
2020-12-07,13,115.06,97.0
2020-12-07,14,115.06,97.0
2020-12-07,15,115.06,97.0
2020-12-07,16,115.04,97.0
2020-12-07,17,259.96,82.0
2020-12-07,18,290.15,60.0
2020-12-07,19,290.15,60.0
2020-12-07,20,115.0,40.0
2020-12-07,21,115.05,87.0
2020-12-07,22,50.48,72.0
2020-12-07,23,50.03,70.0
2020-12-08,0,50.61,156.0
2020-12-08,1,50.46,154.0
2020-12-08,2,50.44,152.0
2020-12-08,3,50.4,156.0
2020-12-08,4,50.59,160.0
2020-12-08,5,50.15,82.0
2020-12-08,6,50.14,92.0
2020-12-08,7,175.06,92.0
2020-12-08,8,175.06,92.0
2020-12-08,9,175.06,94.0
2020-12-08,10,115.11,89.0
2020-12-08,11,115.11,88.0
2020-12-08,12,115.11,88.0
2020-12-08,13,115.1,88.0
2020-12-08,14,115.1,88.0
2020-12-08,15,115.09,88.0
2020-12-08,16,115.09,88.0
2020-12-08,17,259.03,74.0
2020-12-08,18,289.5,60.0
2020-12-08,19,289.5,60.0
2020-12-08,20,113.07,40.0
2020-12-08,21,113.07,78.0
2020-12-08,22,83.14,17.0
2020-12-08,23,50.75,164.2
2020-12-09,0,50.23,133.3
2020-12-09,1,50.19,133.9
2020-12-09,2,50.19,128.2
2020-12-09,3,50.19,128.2
2020-12-09,4,50.19,133.1
2020-12-09,5,50.16,90.0
2020-12-09,6,50.14,71.0
2020-12-09,7,170.1,91.0
2020-12-09,8,170.09,91.0
2020-12-09,9,170.09,93.0
2020-12-09,10,113.1,88.0
2020-12-09,11,113.1,88.0
2020-12-09,12,113.1,88.0
2020-12-09,13,113.1,88.0
2020-12-09,14,113.1,87.0
