month,hour,priceMean,powerMeanMW,priceDeviation,powerDeviationMW,priceCoefVar,powerCoefVar
1,0,36.643,211.92,13.431,88.051,0.36654,0.41549
1,1,35.113,217.62,12.641,84.045,0.36001,0.38620
1,2,34.378,220.89,12.185,82.380,0.35444,0.37295
1,3,34.141,222.85,11.996,82.994,0.35137,0.37242
1,4,34.877,223.78,13.079,85.065,0.37500,0.38013
1,5,38.453,198.12,17.223,91.302,0.44790,0.46084
1,6,56.309,156.81,27.281,81.828,0.48449,0.52183
1,7,68.142,142.53,30.769,78.302,0.45154,0.54937
1,8,70.481,133.25,26.548,80.602,0.37667,0.60489
1,9,71.897,131.43,25.974,77.026,0.36127,0.58606
1,10,63.136,133.30,23.385,70.093,0.37039,0.52583
1,11,62.526,134.84,21.666,70.303,0.34651,0.52138
1,12,60.553,140.58,22.584,73.212,0.37296,0.52079
1,13,60.491,139.41,22.837,73.497,0.37753,0.52720
1,14,60.705,139.46,23.272,71.155,0.38336,0.51022
1,15,60.929,138.59,23.240,70.565,0.38143,0.50916
1,16,65.494,142.48,27.069,69.552,0.41331,0.48815
1,17,69.570,139.34,34.670,73.296,0.49835,0.52602
1,18,93.847,97.546,43.768,63.000,0.46638,0.64585
1,19,134.70,67.256,75.996,47.605,0.56419,0.70782
1,20,137.17,86.846,85.803,68.275,0.62552,0.78616
1,21,83.266,126.44,46.810,75.364,0.56217,0.59605
1,22,47.699,182.96,27.950,112.79,0.58597,0.61647
1,23,37.788,195.98,13.627,98.739,0.36062,0.50382
2,0,41.052,185.32,15.563,118.23,0.37910,0.63798
2,1,39.557,187.65,14.516,118.58,0.36696,0.63192
2,2,38.688,188.40,13.957,118.61,0.36076,0.62956
2,3,38.586,190.65,14.019,119.06,0.36332,0.62450
2,4,40.481,189.43,15.351,120.36,0.37921,0.63538
2,5,47.390,170.62,22.742,119.63,0.47989,0.70115
2,6,67.290,142.49,42.330,78.379,0.62907,0.55007
2,7,78.721,135.40,40.704,79.816,0.51707,0.58948
2,8,82.551,127.85,42.426,86.239,0.51394,0.67453
2,9,91.921,123.26,51.565,84.610,0.56097,0.68644
2,10,78.410,121.61,29.674,76.604,0.37845,0.62992
2,11,77.344,123.91,29.080,75.753,0.37598,0.61136
2,12,74.528,125.35,31.063,74.906,0.41680,0.59757
2,13,73.720,124.81,30.822,73.022,0.41810,0.58507
2,14,73.914,125.52,30.889,75.747,0.41790,0.60347
2,15,74.376,124.37,31.377,74.604,0.42187,0.59986
2,16,78.398,123.01,37.475,67.677,0.47801,0.55017
2,17,87.246,116.36,57.679,66.080,0.66111,0.56789
2,18,98.633,89.745,52.886,54.414,0.53619,0.60632
2,19,163.50,57.886,84.942,40.201,0.51952,0.69449
2,20,154.33,75.084,92.218,68.553,0.59754,0.91302
2,21,103.22,114.32,70.471,78.237,0.68273,0.68437
2,22,54.245,160.49,31.489,121.97,0.58050,0.75999
2,23,43.043,172.81,15.764,118.04,0.36624,0.68306
3,0,48.611,133.27,27.791,76.099,0.57170,0.57101
3,1,46.286,139.45,26.790,75.330,0.57879,0.54019
3,2,45.458,142.76,26.632,75.575,0.58586,0.52938
3,3,45.440,145.99,26.513,74.831,0.58347,0.51258
3,4,47.345,143.87,28.138,75.738,0.59432,0.52643
3,5,50.584,125.81,29.904,73.981,0.59118,0.58804
3,6,69.716,112.61,45.479,51.426,0.65235,0.45667
3,7,82.308,103.40,42.596,51.606,0.51752,0.49909
3,8,85.830,99.790,43.320,53.677,0.50472,0.53790
3,9,91.871,96.843,49.659,54.362,0.54053,0.56134
3,10,75.241,93.824,31.886,52.948,0.42378,0.56433
3,11,75.733,93.820,32.826,51.398,0.43344,0.54784
3,12,73.649,96.444,34.708,51.031,0.47126,0.52913
3,13,73.214,96.681,34.697,50.249,0.47391,0.51974
3,14,73.337,95.692,34.797,48.709,0.47448,0.50902
3,15,73.236,95.220,35.254,48.534,0.48138,0.50970
3,16,74.516,93.109,35.746,50.402,0.47971,0.54132
3,17,79.571,94.514,48.124,53.198,0.60479,0.56286
3,18,102.97,74.249,58.399,47.380,0.56715,0.63812
