month,hour,priceMean,powerMeanMW,priceDeviation,powerDeviationMW,priceCoefVar,powerCoefVar
1,0,23.365,208.88,8.7012,61.545,0.37240,0.29464
1,1,21.761,213.19,7.8057,61.468,0.35870,0.28832
1,2,21.415,217.75,7.9766,62.086,0.37248,0.28513
1,3,21.439,217.42,8.0074,62.861,0.37350,0.28912
1,4,24.224,221.95,11.496,75.646,0.47457,0.34082
1,5,29.538,164.31,15.428,65.867,0.52231,0.40087
1,6,65.291,186.78,24.184,45.391,0.37040,0.24302
1,7,71.766,168.74,19.515,51.024,0.27193,0.30238
1,8,79.588,167.60,15.134,51.754,0.19015,0.30879
1,9,82.480,152.92,17.299,48.763,0.20974,0.31888
1,10,72.249,140.01,21.708,40.565,0.30046,0.28973
1,11,72.891,140.21,22.480,42.621,0.30841,0.30398
1,12,73.164,134.15,22.876,32.346,0.31267,0.24112
1,13,73.047,138.36,23.198,34.599,0.31758,0.25007
1,14,74.435,137.18,25.000,37.312,0.33586,0.27199
1,15,74.423,138.79,24.739,40.229,0.33241,0.28986
1,16,71.052,144.14,21.247,40.490,0.29903,0.28091
1,17,72.023,145.43,39.186,46.658,0.54408,0.32083
1,18,84.232,120.47,41.771,61.091,0.49590,0.50711
1,19,115.50,82.013,68.600,39.699,0.59394,0.48406
1,20,185.86,83.100,79.508,28.672,0.42778,0.34503
1,21,90.106,137.99,57.679,39.390,0.64012,0.28546
1,22,39.293,158.97,10.945,44.775,0.27855,0.28166
1,23,29.458,189.78,11.011,61.246,0.37379,0.32272
2,0,27.652,95.836,1.9606,29.217,0.070903,0.30486
2,1,27.244,101.48,1.7936,30.687,0.065835,0.30239
2,2,26.400,100.54,2.8585,28.141,0.10828,0.27990
2,3,26.313,99.482,2.8516,29.677,0.10837,0.29832
2,4,36.073,88.879,15.756,30.707,0.43678,0.34549
2,5,63.102,65.775,29.604,28.053,0.46915,0.42650
2,6,65.355,100.01,61.639,24.774,0.94314,0.24772
2,7,70.937,106.71,59.477,25.926,0.83845,0.24296
2,8,69.456,109.37,42.830,23.163,0.61665,0.21179
2,9,80.353,102.83,49.219,24.393,0.61253,0.23722
2,10,78.180,99.536,30.341,30.461,0.38809,0.30603
2,11,76.970,100.36,29.747,31.040,0.38648,0.30929
2,12,73.885,93.214,31.583,31.627,0.42746,0.33929
2,13,73.153,93.536,30.161,30.705,0.41230,0.32827
2,14,73.819,93.607,31.258,30.591,0.42344,0.32680
2,15,78.068,88.143,33.278,29.272,0.42627,0.33210
2,16,104.35,83.893,62.538,24.108,0.59931,0.28737
2,17,91.800,90.296,71.081,31.011,0.77430,0.34344
2,18,91.895,54.536,86.860,15.584,0.94521,0.28576
2,19,256.70,44.464,54.618,20.775,0.21277,0.46723
2,20,239.65,47.468,67.665,22.471,0.28235,0.47339
2,21,172.91,69.746,105.91,37.005,0.61252,0.53057
2,22,58.211,49.718,16.600,17.592,0.28517,0.35384
2,23,33.987,68.846,12.752,20.560,0.37520,0.29864
3,0,56.263,158.48,18.913,52.033,0.33615,0.32833
