date,hour,price,volume,dt,datetime,dayOfWeek,month,value,category
2022-10-01,0,48.97,168,1664575200000,2022-10-01T00:00:00.000+02:00,6,10,8.226959999999998,off
2022-10-01,1,48.96,166,1664578800000,2022-10-01T01:00:00.000+02:00,6,10,8.127360000000001,off
2022-10-01,2,48.95,166,1664582400000,2022-10-01T02:00:00.000+02:00,6,10,8.1257,off
2022-10-01,3,48.94,164,1664586000000,2022-10-01T03:00:00.000+02:00,6,10,8.026159999999999,off
2022-10-01,4,48.97,163,1664589600000,2022-10-01T04:00:00.000+02:00,6,10,7.98211,off
2022-10-01,5,48.9,89,1664593200000,2022-10-01T05:00:00.000+02:00,6,10,4.352099999999999,off
2022-10-01,6,50.75,227.9,1664596800000,2022-10-01T06:00:00.000+02:00,6,10,11.565925000000002,off
2022-10-01,7,95.59,228,1664600400000,2022-10-01T07:00:00.000+02:00,6,10,21.794520000000002,standard
2022-10-01,8,98.45,194,1664604000000,2022-10-01T08:00:00.000+02:00,6,10,19.0993,standard
2022-10-01,9,98.76,197,1664607600000,2022-10-01T09:00:00.000+02:00,6,10,19.45572,standard
2022-10-01,10,98.45,201,1664611200000,2022-10-01T10:00:00.000+02:00,6,10,19.78845,standard
2022-10-01,11,98.76,181,1664614800000,2022-10-01T11:00:00.000+02:00,6,10,17.87556,standard
2022-10-01,12,51.28,173.8,1664618400000,2022-10-01T12:00:00.000+02:00,6,10,8.912464,off
2022-10-01,13,51.15,190,1664622000000,2022-10-01T13:00:00.000+02:00,6,10,9.7185,off
2022-10-01,14,51.11,194.9,1664625600000,2022-10-01T14:00:00.000+02:00,6,10,9.961339,off
2022-10-01,15,51.14,188.6,1664629200000,2022-10-01T15:00:00.000+02:00,6,10,9.645003999999998,off
2022-10-01,16,50.78,230.3,1664632800000,2022-10-01T16:00:00.000+02:00,6,10,11.694634,off
2022-10-01,17,51.35,185,1664636400000,2022-10-01T17:00:00.000+02:00,6,10,9.49975,off
2022-10-01,18,100.09,117,1664640000000,2022-10-01T18:00:00.000+02:00,6,10,11.71053,standard
2022-10-01,19,100.09,120.2,1664643600000,2022-10-01T19:00:00.000+02:00,6,10,12.030818000000002,standard
2022-10-01,20,73.59,118,1664647200000,2022-10-01T20:00:00.000+02:00,6,10,8.683620000000001,off
2022-10-01,21,51.75,153,1664650800000,2022-10-01T21:00:00.000+02:00,6,10,7.91775,off
2022-10-01,22,71.82,135,1664654400000,2022-10-01T22:00:00.000+02:00,6,10,9.695699999999999,off
2022-10-01,23,70.88,176,1664658000000,2022-10-01T23:00:00.000+02:00,6,10,12.474879999999999,off
2022-10-02,0,48.97,168,1664661600000,2022-10-02T00:00:00.000+02:00,7,10,8.226959999999998,off
2022-10-02,1,48.95,166,1664665200000,2022-10-02T01:00:00.000+02:00,7,10,8.1257,off
2022-10-02,2,48.94,166,1664668800000,2022-10-02T02:00:00.000+02:00,7,10,8.12404,off
2022-10-02,3,50.74,247,1664672400000,2022-10-02T03:00:00.000+02:00,7,10,12.53278,off
2022-10-02,4,48.95,163,1664676000000,2022-10-02T04:00:00.000+02:00,7,10,7.97885,off
2022-10-02,5,49.41,225,1664679600000,2022-10-02T05:00:00.000+02:00,7,10,11.11725,off
2022-10-02,6,48.98,247.8,1664683200000,2022-10-02T06:00:00.000+02:00,7,10,12.137244,off
2022-10-02,7,49,247,1664686800000,2022-10-02T07:00:00.000+02:00,7,10,12.103,off
2022-10-02,8,49.26,230,1664690400000,2022-10-02T08:00:00.000+02:00,7,10,11.329799999999999,off
2022-10-02,9,49.8,222,1664694000000,2022-10-02T09:00:00.000+02:00,7,10,11.055599999999998,off
2022-10-02,10,49.59,218,1664697600000,2022-10-02T10:00:00.000+02:00,7,10,10.81062,off
2022-10-02,11,49.55,220,1664701200000,2022-10-02T11:00:00.000+02:00,7,10,10.901,off
2022-10-02,12,49.52,224,1664704800000,2022-10-02T12:00:00.000+02:00,7,10,11.092480000000002,off
2022-10-02,13,49.4,232,1664708400000,2022-10-02T13:00:00.000+02:00,7,10,11.460799999999999,off
2022-10-02,14,39.9,87,1664712000000,2022-10-02T14:00:00.000+02:00,7,10,3.4713,off
2022-10-02,15,39.9,87,1664715600000,2022-10-02T15:00:00.000+02:00,7,10,3.4713,off
2022-10-02,16,49.38,230,1664719200000,2022-10-02T16:00:00.000+02:00,7,10,11.357400000000002,off
2022-10-02,17,50.02,189,1664722800000,2022-10-02T17:00:00.000+02:00,7,10,9.45378,off
2022-10-02,18,52.13,103,1664726400000,2022-10-02T18:00:00.000+02:00,7,10,5.36939,off
2022-10-02,19,64.93,89,1664730000000,2022-10-02T19:00:00.000+02:00,7,10,5.778770000000001,off
2022-10-02,20,52.11,117,1664733600000,2022-10-02T20:00:00.000+02:00,7,10,6.09687,off
2022-10-02,21,50.77,167,1664737200000,2022-10-02T21:00:00.000+02:00,7,10,8.47859,off
2022-10-02,22,71.74,156,1664740800000,2022-10-02T22:00:00.000+02:00,7,10,11.191439999999998,off
2022-10-02,23,71.08,190,1664744400000,2022-10-02T23:00:00.000+02:00,7,10,13.505199999999999,off
2022-10-03,0,60.01,217,1664748000000,2022-10-03T00:00:00.000+02:00,1,10,13.022170000000001,off
2022-10-03,1,55.07,213,1664751600000,2022-10-03T01:00:00.000+02:00,1,10,11.72991,off
2022-10-03,2,55.06,212,1664755200000,2022-10-03T02:00:00.000+02:00,1,10,11.672720000000002,off
2022-10-03,3,55.06,211,1664758800000,2022-10-03T03:00:00.000+02:00,1,10,11.617659999999999,off
2022-10-03,4,67.46,245,1664762400000,2022-10-03T04:00:00.000+02:00,1,10,16.527699999999996,off
2022-10-03,5,123.05,176,1664766000000,2022-10-03T05:00:00.000+02:00,1,10,21.6568,off
2022-10-03,6,255.13,256,1664769600000,2022-10-03T06:00:00.000+02:00,1,10,65.31327999999999,morning
2022-10-03,7,251.46,265,1664773200000,2022-10-03T07:00:00.000+02:00,1,10,66.63690000000001,morning
2022-10-03,8,254.98,245,1664776800000,2022-10-03T08:00:00.000+02:00,1,10,62.470099999999995,morning
2022-10-03,9,254.9,227,1664780400000,2022-10-03T09:00:00.000+02:00,1,10,57.862300000000005,standard
2022-10-03,10,125.48,191,1664784000000,2022-10-03T10:00:00.000+02:00,1,10,23.96668,standard
2022-10-03,11,126.41,170,1664787600000,2022-10-03T11:00:00.000+02:00,1,10,21.4897,standard
2022-10-03,12,125.52,181,1664791200000,2022-10-03T12:00:00.000+02:00,1,10,22.71912,standard
2022-10-03,13,125.49,180,1664794800000,2022-10-03T13:00:00.000+02:00,1,10,22.5882,standard
2022-10-03,14,125.08,182,1664798400000,2022-10-03T14:00:00.000+02:00,1,10,22.764560000000003,standard
2022-10-03,15,125.1,188,1664802000000,2022-10-03T15:00:00.000+02:00,1,10,23.5188,standard
2022-10-03,16,197.77,180,1664805600000,2022-10-03T16:00:00.000+02:00,1,10,35.5986,standard
2022-10-03,17,303.21,214,1664809200000,2022-10-03T17:00:00.000+02:00,1,10,64.88694,standard
2022-10-03,18,304.82,150,1664812800000,2022-10-03T18:00:00.000+02:00,1,10,45.723,evening
2022-10-03,19,305.86,138,1664816400000,2022-10-03T19:00:00.000+02:00,1,10,42.20868,evening
2022-10-03,20,255.85,161,1664820000000,2022-10-03T20:00:00.000+02:00,1,10,41.191849999999995,standard
2022-10-03,21,254.46,179,1664823600000,2022-10-03T21:00:00.000+02:00,1,10,45.54834,standard
2022-10-03,22,150.3,142,1664827200000,2022-10-03T22:00:00.000+02:00,1,10,21.3426,off
2022-10-03,23,65.17,164,1664830800000,2022-10-03T23:00:00.000+02:00,1,10,10.687880000000002,off
2022-10-04,0,54.98,221,1664834400000,2022-10-04T00:00:00.000+02:00,2,10,12.15058,off
2022-10-04,1,54.96,219,1664838000000,2022-10-04T01:00:00.000+02:00,2,10,12.03624,off
2022-10-04,2,54.95,217,1664841600000,2022-10-04T02:00:00.000+02:00,2,10,11.924150000000001,off
2022-10-04,3,54.97,215,1664845200000,2022-10-04T03:00:00.000+02:00,2,10,11.81855,off
2022-10-04,4,55,215,1664848800000,2022-10-04T04:00:00.000+02:00,2,10,11.825,off
2022-10-04,5,123.82,176,1664852400000,2022-10-04T05:00:00.000+02:00,2,10,21.79232,off
2022-10-04,6,249.55,249,1664856000000,2022-10-04T06:00:00.000+02:00,2,10,62.137950000000004,morning
2022-10-04,7,246.09,245.8,1664859600000,2022-10-04T07:00:00.000+02:00,2,10,60.48892200000001,morning
2022-10-04,8,254.44,239,1664863200000,2022-10-04T08:00:00.000+02:00,2,10,60.811159999999994,morning
2022-10-04,9,246.76,222,1664866800000,2022-10-04T09:00:00.000+02:00,2,10,54.78072,standard
2022-10-04,10,125.04,189,1664870400000,2022-10-04T10:00:00.000+02:00,2,10,23.63256,standard
2022-10-04,11,125.06,182,1664874000000,2022-10-04T11:00:00.000+02:00,2,10,22.760920000000002,standard
2022-10-04,12,125.03,194,1664877600000,2022-10-04T12:00:00.000+02:00,2,10,24.25582,standard
2022-10-04,13,125.06,186,1664881200000,2022-10-04T13:00:00.000+02:00,2,10,23.26116,standard
2022-10-04,14,125.06,183,1664884800000,2022-10-04T14:00:00.000+02:00,2,10,22.88598,standard
2022-10-04,15,125.66,167,1664888400000,2022-10-04T15:00:00.000+02:00,2,10,20.98522,standard
2022-10-04,16,199.76,204,1664892000000,2022-10-04T16:00:00.000+02:00,2,10,40.75104,standard
2022-10-04,17,300.55,175,1664895600000,2022-10-04T17:00:00.000+02:00,2,10,52.59625,standard
2022-10-04,18,304.73,108,1664899200000,2022-10-04T18:00:00.000+02:00,2,10,32.91084,evening
2022-10-04,19,307.14,92,1664902800000,2022-10-04T19:00:00.000+02:00,2,10,28.25688,evening
2022-10-04,20,251.71,153,1664906400000,2022-10-04T20:00:00.000+02:00,2,10,38.511630000000004,standard
2022-10-04,21,189.58,186,1664910000000,2022-10-04T21:00:00.000+02:00,2,10,35.261880000000005,standard
2022-10-04,22,125.4,226,1664913600000,2022-10-04T22:00:00.000+02:00,2,10,28.340400000000002,off
2022-10-04,23,63.18,197,1664917200000,2022-10-04T23:00:00.000+02:00,2,10,12.446459999999998,off
2022-10-05,0,60.01,230,1664920800000,2022-10-05T00:00:00.000+02:00,3,10,13.802299999999999,off
2022-10-05,1,50.09,228,1664924400000,2022-10-05T01:00:00.000+02:00,3,10,11.42052,off
2022-10-05,2,50.08,228,1664928000000,2022-10-05T02:00:00.000+02:00,3,10,11.418239999999999,off
2022-10-05,3,50.09,226,1664931600000,2022-10-05T03:00:00.000+02:00,3,10,11.32034,off
2022-10-05,4,58.72,220,1664935200000,2022-10-05T04:00:00.000+02:00,3,10,12.9184,off
2022-10-05,5,121.4,175,1664938800000,2022-10-05T05:00:00.000+02:00,3,10,21.245,off
2022-10-05,6,246.19,255,1664942400000,2022-10-05T06:00:00.000+02:00,3,10,62.77845,morning
2022-10-05,7,246.08,227.7,1664946000000,2022-10-05T07:00:00.000+02:00,3,10,56.032416,morning
2022-10-05,8,251.16,228,1664949600000,2022-10-05T08:00:00.000+02:00,3,10,57.26448,morning
2022-10-05,9,246.09,215.8,1664953200000,2022-10-05T09:00:00.000+02:00,3,10,53.106222,standard
2022-10-05,10,122.68,190,1664956800000,2022-10-05T10:00:00.000+02:00,3,10,23.3092,standard
2022-10-05,11,123.79,179,1664960400000,2022-10-05T11:00:00.000+02:00,3,10,22.15841,standard
2022-10-05,12,123.37,193,1664964000000,2022-10-05T12:00:00.000+02:00,3,10,23.81041,standard
2022-10-05,13,123.1,197,1664967600000,2022-10-05T13:00:00.000+02:00,3,10,24.2507,standard
2022-10-05,14,123.65,194,1664971200000,2022-10-05T14:00:00.000+02:00,3,10,23.988100000000003,standard
2022-10-05,15,124,189,1664974800000,2022-10-05T15:00:00.000+02:00,3,10,23.436,standard
2022-10-05,16,201.3,204,1664978400000,2022-10-05T16:00:00.000+02:00,3,10,41.065200000000004,standard
2022-10-05,17,300.46,179,1664982000000,2022-10-05T17:00:00.000+02:00,3,10,53.78234,standard
2022-10-05,18,304.31,107,1664985600000,2022-10-05T18:00:00.000+02:00,3,10,32.561170000000004,evening
2022-10-05,19,306.51,94,1664989200000,2022-10-05T19:00:00.000+02:00,3,10,28.81194,evening
2022-10-05,20,266.06,156,1664992800000,2022-10-05T20:00:00.000+02:00,3,10,41.50536,standard
2022-10-05,21,196.89,187,1664996400000,2022-10-05T21:00:00.000+02:00,3,10,36.81843,standard
2022-10-05,22,123.37,196,1665000000000,2022-10-05T22:00:00.000+02:00,3,10,24.18052,off
2022-10-05,23,60.02,208,1665003600000,2022-10-05T23:00:00.000+02:00,3,10,12.48416,off
2022-10-06,0,50.09,232,1665007200000,2022-10-06T00:00:00.000+02:00,4,10,11.620880000000001,off
2022-10-06,1,50.08,230,1665010800000,2022-10-06T01:00:00.000+02:00,4,10,11.5184,off
2022-10-06,2,50.06,230,1665014400000,2022-10-06T02:00:00.000+02:00,4,10,11.513800000000002,off
2022-10-06,3,50.06,228,1665018000000,2022-10-06T03:00:00.000+02:00,4,10,11.413680000000001,off
2022-10-06,4,65.27,234,1665021600000,2022-10-06T04:00:00.000+02:00,4,10,15.273179999999998,off
2022-10-06,5,123.17,179,1665025200000,2022-10-06T05:00:00.000+02:00,4,10,22.04743,off
2022-10-06,6,250.54,250,1665028800000,2022-10-06T06:00:00.000+02:00,4,10,62.635,morning
2022-10-06,7,246.09,250.4,1665032400000,2022-10-06T07:00:00.000+02:00,4,10,61.620936,morning
2022-10-06,8,252.38,247,1665036000000,2022-10-06T08:00:00.000+02:00,4,10,62.33786,morning
2022-10-06,9,247.5,237,1665039600000,2022-10-06T09:00:00.000+02:00,4,10,58.6575,standard
2022-10-06,10,123.31,214,1665043200000,2022-10-06T10:00:00.000+02:00,4,10,26.38834,standard
2022-10-06,11,124.51,202,1665046800000,2022-10-06T11:00:00.000+02:00,4,10,25.15102,standard
2022-10-06,12,124.15,215,1665050400000,2022-10-06T12:00:00.000+02:00,4,10,26.69225,standard
2022-10-06,13,124.08,216,1665054000000,2022-10-06T13:00:00.000+02:00,4,10,26.80128,standard
