hour,meanCapFactor,meanEnergyMWh,p90EnergyMWh,p10EneryMWh,p75EnergyMWh,p25EneryMWh,meanSpecificYield
0,0.5608928509343748,100.96071316818814,179.78,6.469000000000001,170.915,37.457499999999996,13.461428422424994
1,0.5488527379400261,98.79349282920496,179.79,6.52,169.46,35.815,13.172465710560626
2,0.5389465449804423,97.01037809647949,179.77,7.22,168.445,34.075,12.934717079530614
3,0.5309648993191368,95.57368187744468,179.75,7.52,167.54,33.8875,12.743157583659283
4,0.5057498044328559,91.03496479791424,179.68,6.54,163.255,29.68,12.137995306388541
5,0.4287949152542358,77.18308474576253,177.39,3.229000000000001,139.82500000000002,17.4075,10.291077966101659
6,0.3500957627118644,63.01723728813556,171.23900000000006,2.949000000000001,109.91,13.18,8.402298305084745
7,0.29659955816311645,53.38792046936136,157.04500000000002,2.079000000000001,85.39750000000001,9.622499999999999,7.118389395914795
8,0.2305323120382445,41.495816166884005,128.97900000000004,0.8900000000000001,58.92,6.152500000000001,5.532775488917868
9,0.17499567579313374,31.4992216427641,96.68500000000002,0.52,40.285,3.42,4.19989621903521
10,0.14405263653484054,25.929474576271247,79.26000000000003,0.2,32.3025,1.12,3.457263276836173
11,0.13911522526437822,25.040740547587863,76.64000000000003,0,31.4375,0.88,3.338765406345077
12,0.15796904244531368,28.434427640156436,84.61100000000019,0.019000000000000912,37.585,0.99,3.7912570186875283
13,0.20643882369984,37.15898826597134,108.284,0.3,54.525000000000006,3.0725,4.95453176879616
14,0.28863384760249094,51.95409256844845,137.35000000000005,0.7400000000000001,82.86,7.51,6.927212342459782
15,0.40535133275387464,72.96323989569768,164.181,2.9590000000000014,122.155,17.5625,9.72843198609299
16,0.521744618281907,93.91403129074351,177.121,5.739000000000002,155.4275,30.8675,12.521870838765768
17,0.5816522164276398,104.69739895697501,179.62,6.918000000000001,168.4275,45.522499999999994,13.959653194263353
18,0.6009250325945265,108.16650586701441,179.81,8.329,175.42,48.580000000000005,14.422200782268636
19,0.6033465884398115,108.60238591916536,179.86,8.536000000000003,176.15,47.60249999999999,14.480318122555476
20,0.5978035781544268,107.60464406779681,179.84,7.666000000000004,176.1875,44.5325,14.347285875706241
21,0.5899288425322339,106.18719165580202,179.78,6.51,175.6875,40.955,14.158292220773614
22,0.5807799362595965,104.54038852672718,179.761,5.8,173.9775,38.33,13.938718470230315
23,0.576702433724466,103.8064380704041,179.76,6.509,172.76,39.0725,13.840858409387183
