month,hour,meanHourlyCapFactor,p90HourlyCapFactor,p10HourlyCapFactor
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0.09517293104608297,0.2023724,0.01477948
1,7,0.44345162995391657,0.828144,0.09300320000000001
1,8,0.638462575576036,1,0.18839000000000003
1,9,0.7713154562211967,1,0.3253392
1,10,0.8471573133640555,1,0.483944
1,11,0.8847451658986176,1,0.571808
1,12,0.8739841382488476,1,0.531732
1,13,0.8511748433179729,1,0.42886
1,14,0.7926376635944702,1,0.2840224
1,15,0.7109945806451615,1,0.1819768
1,16,0.581412659907834,0.9990200000000001,0.1075064
1,17,0.43247302626728074,0.8194640000000001,0.0744644
1,18,0.11154109652073736,0.21775840000000002,0.02376824
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,0,0,0
2,4,0,0,0
2,5,0,0,0
2,6,0.04110201709734519,0.08779200000000001,0.0024962
2,7,0.4025246053097342,0.73736,0.074388
2,8,0.648142255878634,1,0.17054
2,9,0.7740273683944369,1,0.298424
2,10,0.8459553173198476,1,0.4454
2,11,0.8748944525916564,1,0.52516
2,12,0.8722565208596711,1,0.5194
2,13,0.8502824424778761,1,0.46632
2,14,0.810725532237673,1,0.321428
2,15,0.7209133147914036,1,0.14172
2,16,0.6019920652338807,1,0.087576
2,17,0.46232070543615655,0.86712,0.063484
2,18,0.10126773852338809,0.20199599999999998,0.0167716
2,19,0,0,0
2,20,0,0,0
2,21,0,0,0
2,22,0,0,0
2,23,0,0,0
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,0
3,4,0,0,0
3,5,0,0,0
3,6,0.023684897156682014,0.0520112,0
3,7,0.4224748911059907,0.655536,0.0858772
3,8,0.7377608714285712,1,0.21686360000000005
3,9,0.8436328387096765,1,0.38506280000000004
3,10,0.8879164470046088,1,0.549048
3,11,0.8979374101382497,1,0.608348
3,12,0.8835577741935482,1,0.580648
3,13,0.862144972350231,1,0.51664
3,14,0.8449833963133636,1,0.45645600000000003
3,15,0.746044613364056,1,0.1886996
3,16,0.6520054018433185,1,0.11467880000000001
3,17,0.43675601705069145,0.7210920000000002,0.0647432
3,18,0.04190896867741928,0.09855080000000006,0.0010109720000000002
3,19,0,0,0
3,20,0,0,0
3,21,0,0,0
3,22,0,0,0
3,23,0,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0.018718917842857164,0.0413304,0
4,7,0.4593997457142861,0.5950840000000001,0.17551519999999998
4,8,0.8365955414285724,0.994924,0.46862000000000004
4,9,0.9230932371428574,1,0.676532
4,10,0.9458546571428573,1,0.81808
4,11,0.9474301999999993,1,0.841152
4,12,0.9268162476190478,1,0.770148
4,13,0.9000654095238089,1,0.66834
4,14,0.8775737380952389,1,0.597176
4,15,0.8311102928571427,1,0.46580800000000006
4,16,0.7469718528571422,0.9469240000000001,0.3221292
4,17,0.32181970714285696,0.474004,0.1536984
4,18,0.0014081188285714297,0.003785960000000003,0
4,19,0,0,0
4,20,0,0,0
4,21,0,0,0
4,22,0,0,0
4,23,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,0.0017340469032258064,0.006447800000000004,0
5,7,0.39583933225806445,0.49012,0.2863684
5,8,0.8370378479262678,0.932184,0.736288
5,9,0.9226817235023042,0.993372,0.876136
5,10,0.9438654608294943,1,0.91716
